ID,title,artist,top genre,year
231,Fancy,Iggy Azalea,australian hip hop,2014
232,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014
233,Gorilla,Bruno Mars,pop,2014
234,human,Christina Perri,dance pop,2014
235,Young Girls,Bruno Mars,pop,2014
236,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014
237,Love Runs Out,OneRepublic,dance pop,2014
238,This Is How We Do,Katy Perry,dance pop,2014
239,Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014
240,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014
241,#SELFIE,The Chainsmokers,electropop,2014
242,Partition,Beyoncé,dance pop,2014
243,Birthday,Katy Perry,dance pop,2014
244,G.U.Y.,Lady Gaga,dance pop,2014
245,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014
246,"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014
247,Wings,Birdy,neo mellow,2014
248,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014
249,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014
250,Say Something,A Great Big World,neo mellow,2014
251,A Sky Full of Stars,Coldplay,permanent wave,2014
252,Come Get It Bae,Pharrell Williams,dance pop,2014
253,Chandelier,Sia,australian dance,2014
254,XO,Beyoncé,dance pop,2014
255,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014
256,Not About Angels,Birdy,neo mellow,2014
257,Drunk in Love,Beyoncé,dance pop,2014
258,Anaconda,Nicki Minaj,dance pop,2014
259,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014
260,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014
261,Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014
262,Words as Weapons,Birdy,neo mellow,2014
263,You're Mine (Eternal),Mariah Carey,dance pop,2014
264,Sheezus,Lily Allen,dance pop,2014
265,Cannonball,Lea Michele,hollywood,2014
266,It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014
267,I Luh Ya Papi,Jennifer Lopez,dance pop,2014
268,Not a Bad Thing,Justin Timberlake,dance pop,2014
269,Thinking out Loud,Ed Sheeran,pop,2015
270,I'm Not The Only One,Sam Smith,pop,2015
271,The Hills,The Weeknd,canadian contemporary r&b,2015
272,Love Yourself,Justin Bieber,canadian pop,2015
273,Uptown Funk,Mark Ronson,dance pop,2015
274,Take Me To Church,Hozier,irish singer-songwriter,2015
275,Sugar,Maroon 5,pop,2015
276,Sorry,Justin Bieber,canadian pop,2015
277,FourFiveSeconds,Rihanna,barbadian pop,2015
278,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015
279,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015
280,What Do You Mean?,Justin Bieber,canadian pop,2015
281,Stitches,Shawn Mendes,canadian pop,2015
282,Want to Want Me,Jason Derulo,dance pop,2015
283,My House,Flo Rida,dance pop,2015
284,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015
285,Night Changes,One Direction,boy band,2015
286,How Deep Is Your Love,Calvin Harris,dance pop,2015
287,Never Forget You,Zara Larsson,dance pop,2015
288,Love Me Harder,Ariana Grande,dance pop,2015
289,Animals,Maroon 5,pop,2015
290,Blame,Calvin Harris,dance pop,2015
291,Worth It,Fifth Harmony,dance pop,2015
292,Break Free,Ariana Grande,dance pop,2015
293,Don't,Ed Sheeran,pop,2015
294,Elastic Heart,Sia,australian dance,2015
295,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015
296,Hello,Adele,british soul,2015
297,Dear Future Husband,Meghan Trainor,dance pop,2015
298,43776,Beyoncé,dance pop,2015
299,The Heart Wants What It Wants,Selena Gomez,dance pop,2015
300,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015
301,Genie In a Bottle,Christina Aguilera,dance pop,2015
302,Company,Justin Bieber,canadian pop,2015
303,Sing,Ed Sheeran,pop,2015
304,Jealous - Remix,Nick Jonas,dance pop,2015
305,Really Don't Care,Demi Lovato,dance pop,2015
306,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015
307,Only Love Can Hurt Like This,Paloma Faith,british soul,2015
308,Heartbeat Song,Kelly Clarkson,dance pop,2015
309,Up,Olly Murs,dance pop,2015
310,Trumpets,Jason Derulo,dance pop,2015
311,Runnin' (Lose It All),Naughty Boy,tropical house,2015
312,Same Old Love,Selena Gomez,dance pop,2015
313,I Want You To Know,Zedd,complextro,2015
314,Lips Are Movin,Meghan Trainor,dance pop,2015
315,I'll Show You,Justin Bieber,canadian pop,2015
