ID,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
223,127,72,68,-6,27,57,214,8,4,73
224,100,58,69,-7,31,42,193,17,9,73
225,126,89,50,-5,10,21,240,0,4,73
226,122,73,50,-5,9,52,256,2,17,72
227,120,66,58,-5,11,20,279,11,3,72
228,118,72,78,-6,7,71,246,13,4,71
229,87,78,56,-5,11,33,231,31,4,71
230,160,95,49,-4,33,44,202,0,13,71
231,95,72,91,-4,5,38,200,9,7,70
232,100,65,76,-7,31,76,178,3,23,68
233,140,54,72,-7,10,64,244,45,4,68
234,144,49,44,-6,11,25,251,13,4,68
235,126,75,56,-5,21,50,229,46,3,67
236,82,62,70,-7,16,72,193,8,25,67
237,120,93,72,-4,8,74,225,17,6,66
238,96,64,69,-6,15,80,204,2,5,66
239,126,92,71,-4,27,98,232,0,4,65
240,130,62,76,-6,9,52,241,1,18,65
241,128,92,79,-3,8,66,184,1,25,65
242,186,44,41,-12,31,17,319,3,29,65
243,126,67,72,-5,11,84,215,9,7,65
244,110,92,62,-3,12,57,233,1,4,65
245,128,74,60,-3,9,46,217,11,4,64
246,140,66,50,-6,27,25,226,3,4,63
247,83,71,47,-5,16,22,252,8,3,62
248,138,81,69,-4,14,82,207,12,7,62
249,192,77,35,-4,12,4,191,6,5,61
250,138,15,45,-9,9,9,229,87,3,61
251,125,68,55,-6,21,16,268,1,3,60
252,120,80,93,-6,10,90,202,27,8,59
253,174,78,29,-3,7,62,216,2,7,56
254,170,79,47,-9,31,21,216,17,26,56
255,125,94,60,-4,10,55,222,0,7,56
256,116,14,41,-10,9,23,190,97,4,56
257,140,62,59,-7,18,40,323,1,5,52
258,130,60,96,-6,21,65,260,7,18,50
259,92,81,68,-4,34,64,169,7,6,50
260,128,82,80,-5,35,61,198,18,4,50
261,76,34,68,-9,9,56,160,84,3,49
262,120,35,53,-9,14,19,239,28,3,44
263,149,58,63,-7,38,56,224,28,7,38
264,130,50,78,-7,11,39,235,15,4,37
265,92,82,56,-3,19,57,215,2,5,37
266,110,54,64,-9,25,53,230,10,11,30
267,96,73,74,-6,12,59,207,45,42,28
268,86,73,59,-6,38,46,266,27,6,0
269,79,45,78,-6,18,59,282,47,3,84
270,82,49,68,-6,8,49,239,53,4,84
271,113,56,58,-7,14,14,242,7,5,84
272,100,38,61,-10,28,52,234,84,44,83
273,115,61,86,-7,3,93,270,1,8,82
274,129,66,57,-5,12,44,242,63,5,81
275,120,79,75,-7,9,88,235,6,3,81
276,100,76,65,-4,30,41,201,8,5,81
277,206,27,58,-6,13,35,188,88,5,80
278,190,61,26,-7,13,28,253,25,5,79
279,120,38,66,-6,10,44,252,39,3,79
280,125,57,85,-8,8,79,206,59,10,79
281,150,75,75,-7,5,76,207,2,7,78
282,114,68,78,-6,11,66,208,1,6,77
283,94,70,69,-5,13,74,192,2,5,77
284,120,51,83,-9,8,45,208,1,4,77
285,120,52,67,-8,12,37,227,86,4,77
286,122,87,74,-4,39,34,213,4,7,77
287,146,73,58,-6,27,28,213,0,5,77
288,99,71,47,-4,8,24,236,1,3,76
289,190,74,28,-6,59,33,231,0,9,76
290,128,86,41,-4,34,35,213,3,8,76
291,100,77,88,-4,12,59,225,6,9,75
292,130,70,69,-5,20,28,215,1,5,75
293,95,61,81,-7,64,85,220,1,7,74
294,130,79,42,-5,15,50,257,1,5,73
295,121,59,80,-7,19,55,228,16,4,73
296,158,45,48,-6,9,29,295,34,3,73
297,79,78,66,-5,32,83,184,38,19,72
298,136,71,75,-5,13,56,214,1,13,72
299,83,79,62,-5,14,62,227,5,4,72
300,86,73,60,-4,33,53,193,24,15,72
301,176,80,63,-7,14,91,218,21,16,72
302,95,80,59,-5,8,43,208,13,6,72
303,120,67,82,-4,6,94,235,30,5,71
304,93,71,68,-4,44,45,222,1,8,70
305,121,73,71,-4,19,85,202,12,9,70
306,110,61,83,-4,29,71,293,9,7,70
307,91,89,57,-5,33,31,233,10,8,69
308,149,80,49,-4,6,48,199,1,5,69
309,115,85,69,-5,10,64,224,2,3,69
310,82,70,63,-5,10,64,217,56,24,69
311,139,85,32,-6,48,8,213,1,8,69
312,98,59,67,-4,21,44,229,2,3,69
313,130,85,58,-3,14,37,240,1,6,68
314,139,83,78,-5,11,95,183,5,5,68
315,192,61,36,-7,18,8,200,5,10,68
316,120,82,38,-4,8,33,199,8,10,68
317,120,85,59,-5,27,34,235,7,4,67
318,123,94,69,-5,5,79,235,9,6,67
319,124,94,68,-4,12,65,230,18,6,67
320,127,81,53,-6,10,21,245,8,6,67
321,122,81,62,-5,22,60,205,1,4,66
322,103,87,81,-5,5,74,171,1,11,66
323,120,79,75,-7,9,88,235,6,3,66
324,100,88,67,-6,44,79,211,27,24,66
325,134,88,81,-4,11,96,189,5,5,65
326,155,71,70,-7,9,74,213,26,5,65
327,106,67,79,-4,28,85,198,21,4,65
328,116,67,63,-7,10,29,233,5,5,65
329,129,95,71,-4,26,40,210,0,5,64
330,125,36,77,-11,10,76,204,79,4,64
331,114,26,38,-9,17,52,134,88,3,63
332,123,75,67,-7,19,48,242,14,4,62
333,78,75,39,-6,33,48,320,5,9,61
334,150,75,71,-4,38,73,199,27,9,61
335,122,70,71,-8,7,60,159,2,3,61
336,100,76,51,-4,11,44,264,25,5,61
337,123,82,64,-5,16,64,219,2,6,60
338,113,78,74,-6,32,86,199,2,7,60
339,123,89,76,-5,62,78,189,2,3,58
340,80,48,69,-8,6,28,230,37,8,56
341,126,75,52,-4,24,35,210,4,6,56
342,156,60,47,-6,9,4,292,33,5,55
343,100,82,65,-5,12,40,230,6,8,55
344,79,55,54,-7,12,9,250,4,4,54
345,108,87,60,-4,10,59,193,5,8,54
